seed,turn,stage,candidates,action_index,action_desc,elapsed_us,score_breakdown
1001,20,Train,9,0,速训练,45,"#0 3487[速训练 失败率0% 属性+728 PT+162] | #1 129[耐训练 失败率0% 属性+34 PT+11] | #2 224[力训练 失败率0% 属性+53 PT+16] | #3 125[根训练 失败率0% 属性+50 PT+10] | #4 221[智训练 失败率0% 属性+45 PT+11] | #5 497[自选比赛(缺1场/剩15回合)+比赛(G2 五维[3, 5, 3, 5, 3]×1.55 PT+62 体力-15 折扣0.30)] | #6 -154[休息] | #7 -185[普通外出] | #8 2509[友人外出#1 选项1 动态事件198 材料+2(库存0也不禁用) 饥饿+2028 未来+0 主动+213]"
1001,21,RamenSelect,1,0,不吃面,0,仅1候选: 不吃面
1001,21,Train,9,0,速训练,35,"#0 809[速训练 失败率0% 属性+274 PT+33] | #1 234[耐训练 失败率0% 属性+44 PT+17] | #2 249[力训练 失败率0% 属性+55 PT+17] | #3 244[根训练 失败率0% 属性+74 PT+16] | #4 330[智训练 失败率0% 属性+58 PT+17] | #5 472[自选比赛(缺1场/剩14回合)+比赛(G3 五维[3, 3, 3, 3, 3]×1.55 PT+54 体力-15 折扣0.30)] | #6 46[休息] | #7 15[普通外出] | #8 2338[友人外出#1 选项1 动态事件240 材料+2(库存0也不禁用) 饥饿+2028 未来+0 主动+0]"
1001,22,RamenSelect,3,0,不吃面,71,#0 0[不吃面] | #1 -inf[禁止吃面：吃完后最优训练位不在该面 at_trains 内] | #2 -inf[禁止吃面：吃完后最优训练位不在该面 at_trains 内]
1001,22,Train,9,0,速训练,29,"#0 1197[速训练 失败率8% 属性+444 PT+52] | #1 638[耐训练 失败率5% 属性+98 PT+37] | #2 232[力训练 失败率5% 属性+59 PT+15] | #3 92[根训练 失败率8% 属性+52 PT+9] | #4 541[智训练 失败率0% 属性+105 PT+23] | #5 612[自选比赛(缺1场/剩13回合)+比赛(G1 五维[5, 5, 5, 5, 5]×1.55 PT+78 体力-15 折扣0.30)] | #6 66[休息] | #7 15[普通外出] | #8 1349[友人外出#1 选项1 动态事件265 材料+2(库存0也不禁用) 饥饿+1014 未来+0 主动+0]"
1001,23,RamenSelect,4,0,不吃面,35,#0 0[不吃面：本回合基础决策不是训练] | #1 -inf[禁止吃面：本回合应先休息/外出/治病/比赛] | #2 -inf[禁止吃面：本回合应先休息/外出/治病/比赛] | #3 -inf[禁止吃面：本回合应先休息/外出/治病/比赛]
1001,23,Train,9,6,休息,26,"#0 409[速训练 失败率25% 属性+267 PT+23] | #1 157[耐训练 失败率26% 属性+48 PT+17] | #2 44[力训练 失败率27% 属性+44 PT+9] | #3 154[根训练 失败率30% 属性+80 PT+17] | #4 513[智训练 失败率0% 属性+97 PT+26] | #5 633[自选比赛(缺1场/剩12回合)+比赛(G1 五维[5, 5, 5, 5, 5]×1.55 PT+78 体力-15 折扣0.30)] | #6 96[休息] | #7 15[普通外出] | #8 1359[友人外出#1 选项1 动态事件275 材料+2(库存0也不禁用) 饥饿+1014 未来+0 主动+0]"
1001,23,RegionSelect,10,4,"地区[中山-全,京都-耐根,小仓-智]",14,"#0 55[[5, 6, 7]] | #1 55[[5, 6, 8]] | #2 65[[5, 6, 9]] | #3 100[[5, 7, 8]] | #4 110[[5, 7, 9]] | #5 110[[5, 8, 9]] | #6 30[[6, 7, 8]] | #7 40[[6, 7, 9]] | #8 40[[6, 8, 9]] | #9 85[[7, 8, 9]]"
1001,24,Event,3,2,事件#4009 经典年-新年:  速25  /   体力20 /  20pt,3,
1001,24,RamenSelect,4,2,吃面/京都-耐根,102,#0 0[不吃面] | #1 2050[吃面/中山-全] | #2 2054[吃面/京都-耐根] | #3 -inf[禁止吃面：吃完后最优训练位不在该面 at_trains 内]
1001,24,SpecialSelect,3,0,吃面/京都-耐根(替换Bx1),10,"#0 14[隐藏方案[0, 1, 0] 后续可做0种] | #1 9[隐藏方案[0, 1, 1] 后续可做0种] | #2 9[隐藏方案[0, 2, 0] 后续可做0种]"
1001,24,Train,9,1,耐训练,44,"#0 922[速训练 失败率0% 属性+175 PT+10] | #1 3779[耐训练 失败率0% 属性+96 PT+41] | #2 1117[力训练 失败率0% 属性+65 PT+13] | #3 2866[根训练 失败率0% 属性+134 PT+29] | #4 1434[智训练 失败率0% 属性+72 PT+16] | #5 1650[自选比赛(缺1场/剩11回合)+比赛(G3 五维[3, 3, 3, 3, 3]×1.55 PT+54 体力-15 折扣0.30)] | #6 -154[休息] | #7 -185[普通外出] | #8 1971[友人外出#1 选项1 动态事件163 材料+2(库存1也不禁用) 饥饿+1521 未来+0 主动+213]"
1001,25,RamenSelect,1,0,不吃面,0,仅1候选: 不吃面
1001,25,Train,9,0,速训练,36,"#0 5477[速训练 失败率0% 属性+476 PT+58] | #1 977[耐训练 失败率0% 属性+44 PT+12] | #2 629[力训练 失败率0% 属性+40 PT+8] | #3 1002[根训练 失败率0% 属性+65 PT+12] | #4 725[智训练 失败率0% 属性+44 PT+8] | #5 1290[自选比赛(缺1场/剩10回合)+比赛(G4 五维[2, 3, 2, 3, 2]×1.55 PT+39 体力-15 折扣0.30)] | #6 -154[休息] | #7 -185[普通外出] | #8 2062[友人外出#1 选项1 动态事件254 材料+2(库存1也不禁用) 饥饿+1521 未来+0 主动+213]"
1001,26,RamenSelect,1,0,不吃面,0,仅1候选: 不吃面
1001,26,Train,9,1,耐训练,35,"#0 1743[速训练 失败率0% 属性+171 PT+19] | #1 2736[耐训练 失败率0% 属性+110 PT+31] | #2 545[力训练 失败率0% 属性+42 PT+7] | #3 1085[根训练 失败率0% 属性+71 PT+13] | #4 1085[智训练 失败率0% 属性+56 PT+12] | #5 1709[自选比赛(缺1场/剩9回合)+比赛(G3 五维[3, 3, 3, 3, 3]×1.55 PT+54 体力-15 折扣0.30)] | #6 46[休息] | #7 15[普通外出] | #8 2089[友人外出#1 选项1 动态事件281 材料+2(库存1也不禁用) 饥饿+1521 未来+0 主动+213]"
1001,27,RamenSelect,2,0,不吃面,52,#0 0[不吃面] | #1 -inf[禁止吃面：吃完后最优训练位不在该面 at_trains 内]
1001,27,Train,9,0,速训练,26,"#0 3016[速训练 失败率20% 属性+307 PT+41] | #1 509[耐训练 失败率17% 属性+42 PT+8] | #2 867[力训练 失败率18% 属性+60 PT+13] | #3 414[根训练 失败率20% 属性+48 PT+7] | #4 1085[智训练 失败率0% 属性+56 PT+12] | #5 1363[自选比赛(缺1场/剩8回合)+比赛(G4 五维[2, 3, 2, 3, 2]×1.55 PT+39 体力-15 折扣0.30)] | #6 83[休息] | #7 15[普通外出] | #8 2111[友人外出#1 选项1 动态事件303 材料+2(库存1也不禁用) 饥饿+1521 未来+0 主动+213]"
1001,28,RamenSelect,4,0,不吃面,37,#0 0[不吃面：本回合基础决策不是训练] | #1 -inf[禁止吃面：本回合应先休息/外出/治病/比赛] | #2 -inf[禁止吃面：本回合应先休息/外出/治病/比赛] | #3 -inf[禁止吃面：本回合应先休息/外出/治病/比赛]
1001,28,Train,9,8,友人出行,26,"#0 1230[速训练 失败率46% 属性+217 PT+25] | #1 267[耐训练 失败率49% 属性+42 PT+8] | #2 515[力训练 失败率51% 属性+66 PT+14] | #3 436[根训练 失败率54% 属性+63 PT+13] | #4 915[智训练 失败率14% 属性+46 PT+12] | #5 2007[自选比赛(缺1场/剩7回合)+比赛(G2 五维[3, 5, 3, 5, 3]×1.55 PT+62 体力-15 折扣0.30)] | #6 121[休息] | #7 15[普通外出] | #8 2103[友人外出#1 选项1 动态事件296 材料+2(库存1也不禁用) 饥饿+1521 未来+0 主动+213]"
1001,29,RamenSelect,4,2,吃面/京都-耐根,89,#0 0[不吃面] | #1 2153[吃面/中山-全] | #2 2162[吃面/京都-耐根] | #3 -inf[禁止吃面：吃完后最优训练位不在该面 at_trains 内]
1001,29,SpecialSelect,6,1,吃面/京都-耐根(替换Cx1),15,"#0 19[隐藏方案[0, 0, 0] 后续可做0种] | #1 29[隐藏方案[0, 0, 1] 后续可做1种] | #2 13[隐藏方案[0, 1, 0] 后续可做0种] | #3 23[隐藏方案[0, 0, 2] 后续可做1种] | #4 7[隐藏方案[0, 1, 1] 后续可做0种] | #5 7[隐藏方案[0, 2, 0] 后续可做0种]"
1001,29,Train,9,1,耐训练,46,"#0 2893[速训练 失败率0% 属性+294 PT+31] | #1 10727[耐训练 失败率0% 属性+417 PT+118] | #2 819[力训练 失败率0% 属性+63 PT+10] | #3 3032[根训练 失败率0% 属性+125 PT+31] | #4 1253[智训练 失败率0% 属性+53 PT+14] | #5 2076[自选比赛(缺1场/剩6回合)+比赛(G2 五维[3, 5, 3, 5, 3]×1.55 PT+62 体力-15 折扣0.30)] | #6 -154[休息] | #7 -185[普通外出] | #8 2584[友人外出#2 选项1 动态事件1281 材料+2(库存2也不禁用) 饥饿+1014 未来+0 主动+213]"
1001,30,RamenSelect,2,1,吃面/中山-全,61,#0 0[不吃面] | #1 2377[吃面/中山-全]
1001,30,SpecialSelect,3,0,吃面/中山-全(替换Cx1),9,"#0 10[隐藏方案[0, 0, 1] 后续可做0种] | #1 4[隐藏方案[0, 0, 2] 后续可做0种] | #2 4[隐藏方案[1, 0, 1] 后续可做0种]"
1001,30,Train,9,1,耐训练,47,"#0 3759[速训练 失败率0% 属性+396 PT+39] | #1 11783[耐训练 失败率0% 属性+466 PT+132] | #2 2508[力训练 失败率0% 属性+148 PT+27] | #3 1642[根训练 失败率0% 属性+87 PT+18] | #4 2763[智训练 失败率0% 属性+96 PT+30] | #5 2590[自选比赛(缺1场/剩5回合)+比赛(G1 五维[5, 5, 5, 5, 5]×1.55 PT+78 体力-15 折扣0.30)] | #6 46[休息] | #7 15[普通外出] | #8 3146[友人外出#2 选项1 动态事件1336 材料+2(库存1也不禁用) 饥饿+1521 未来+0 主动+213]"
1001,31,RamenSelect,1,0,不吃面,0,仅1候选: 不吃面
1001,31,Train,9,0,速训练,35,"#0 7651[速训练 失败率22% 属性+690 PT+107] | #1 580[耐训练 失败率19% 属性+75 PT+9] | #2 1067[力训练 失败率20% 属性+94 PT+16] | #3 477[根训练 失败率22% 属性+63 PT+8] | #4 1951[智训练 失败率0% 属性+104 PT+21] | #5 2322[自选比赛(缺1场/剩4回合)+比赛(G2 五维[3, 5, 3, 5, 3]×1.55 PT+62 体力-15 折扣0.30)] | #6 86[休息] | #7 15[普通外出] | #8 3147[友人外出#2 选项1 动态事件1337 材料+2(库存1也不禁用) 饥饿+1521 未来+0 主动+213]"
1001,32,RamenSelect,2,0,不吃面,37,#0 0[不吃面：本回合基础决策不是训练] | #1 -inf[禁止吃面：本回合应先休息/外出/治病/比赛]
1001,32,Train,9,8,友人出行,27,"#0 849[速训练 失败率56% 属性+263 PT+22] | #1 977[耐训练 失败率52% 属性+171 PT+24] | #2 535[力训练 失败率45% 属性+90 PT+12] | #3 215[根训练 失败率56% 属性+61 PT+8] | #4 4174[智训练 失败率16% 属性+214 PT+55] | #5 2984[自选比赛(缺1场/剩3回合)+比赛(G1 五维[5, 5, 5, 5, 5]×1.55 PT+78 体力-15 折扣0.30)] | #6 123[休息] | #7 15[普通外出] | #8 3153[友人外出#2 选项1 动态事件1342 材料+2(库存1也不禁用) 饥饿+1521 未来+0 主动+213]"
1001,33,RamenSelect,4,0,不吃面,9,#0 0[不吃面：本回合基础决策不是训练] | #1 -inf[禁止吃面：本回合应先休息/外出/治病/比赛] | #2 -inf[禁止吃面：本回合应先休息/外出/治病/比赛] | #3 -inf[禁止吃面：本回合应先休息/外出/治病/比赛]
1001,33,Train,9,5,比赛,4,"#0 340282346638528859811704183484516925440[守门: 自选比赛缺1场/剩2回合(无等级要求), 剩余回合不足需强制补赛]"
1001,33,Event,2,0,事件#4101 G1比赛:  速5 耐5 力5 根5 智5 78pt 体力-15 / [大成功] 速5 耐5 力5 根5 智5 78pt 体力-5 (33%) | [成功] 速5 耐5 力5 根5 智5 78pt 体力-20 (66%),3,
1001,34,RamenSelect,4,3,吃面/小仓-智,94,#0 0[不吃面] | #1 2484[吃面/中山-全] | #2 -inf[禁止吃面：吃完后最优训练位不在该面 at_trains 内] | #3 2493[吃面/小仓-智]
1001,34,SpecialSelect,8,2,吃面/小仓-智(替换Bx1),19,"#0 25[隐藏方案[0, 0, 0] 后续可做1种] | #1 19[隐藏方案[0, 0, 1] 后续可做1种] | #2 30[隐藏方案[0, 1, 0] 后续可做2种] | #3 19[隐藏方案[1, 0, 0] 后续可做1种] | #4 13[隐藏方案[0, 1, 1] 后续可做1种] | #5 13[隐藏方案[0, 2, 0] 后续可做1种] | #6 13[隐藏方案[1, 0, 1] 后续可做1种] | #7 2[隐藏方案[1, 1, 0] 后续可做0种]"
