seed,turn,stage,candidates,action_index,action_desc,elapsed_us,score_breakdown
1001,23,RegionSelect,10,4,"地区[中山-全,京都-耐根,小仓-智]",14,"#0 -15[[5, 6, 7]] | #1 -15[[5, 6, 8]] | #2 30[[5, 6, 9]] | #3 -5[[5, 7, 8]] | #4 40[[5, 7, 9]] | #5 40[[5, 8, 9]] | #6 -40[[6, 7, 8]] | #7 5[[6, 7, 9]] | #8 5[[6, 8, 9]] | #9 15[[7, 8, 9]]"
1001,24,Event,3,2,事件#4009 经典年-新年:  速25  /   体力20 /  20pt,3,
1001,24,RamenSelect,4,2,吃面/京都-耐根,95,#0 0[不吃面] | #1 2051[吃面/中山-全] | #2 2057[吃面/京都-耐根] | #3 -inf[禁止吃面：吃完后最优训练位不在该面 at_trains 内]
1001,24,SpecialSelect,3,0,吃面/京都-耐根(替换Bx1),10,"#0 14[隐藏方案[0, 1, 0] 后续可做0种] | #1 9[隐藏方案[0, 1, 1] 后续可做0种] | #2 9[隐藏方案[0, 2, 0] 后续可做0种]"
1001,24,Train,9,1,耐训练,86,"#0 830[速训练 失败率0% 属性+71 PT+10] | #1 9535[耐训练 失败率0% 属性+500 PT+104] | #2 1126[力训练 失败率0% 属性+74 PT+13] | #3 2853[根训练 失败率0% 属性+121 PT+29] | #4 1248[智训练 失败率0% 属性+56 PT+14] | #5 1383[比赛(G3 五维[3, 3, 3, 3, 3]×1.55 PT+54 体力-15 折扣0.30)] | #6 46[休息] | #7 15[普通外出] | #8 2060[友人外出#1 选项1 动态事件252 材料+2(库存1也不禁用) 饥饿+1521 未来+0 主动+213]"
1001,25,RamenSelect,1,0,不吃面,0,仅1候选: 不吃面
1001,25,Train,9,8,友人出行,34,"#0 3349[速训练 失败率36% 属性+261 PT+58] | #1 935[耐训练 失败率40% 属性+133 PT+18] | #2 329[力训练 失败率41% 属性+47 PT+8] | #3 462[根训练 失败率44% 属性+65 PT+11] | #4 671[智训练 失败率6% 属性+34 PT+8] | #5 998[比赛(G4 五维[2, 3, 2, 3, 2]×1.55 PT+39 体力-15 折扣0.30)] | #6 111[休息] | #7 15[普通外出] | #8 2105[友人外出#1 选项1 动态事件297 材料+2(库存1也不禁用) 饥饿+1521 未来+0 主动+213]"
1001,26,RamenSelect,3,1,吃面/中山-全,82,#0 0[不吃面] | #1 2157[吃面/中山-全] | #2 -inf[禁止吃面：吃完后最优训练位不在该面 at_trains 内]
1001,26,SpecialSelect,1,0,吃面/中山-全(替换Cx2),2,仅1候选: 吃面/中山-全(替换Cx2)
1001,26,Train,9,1,耐训练,44,"#0 5177[速训练 失败率0% 属性+267 PT+57] | #1 10423[耐训练 失败率0% 属性+670 PT+113] | #2 1384[力训练 失败率0% 属性+82 PT+15] | #3 2283[根训练 失败率0% 属性+122 PT+25] | #4 2408[智训练 失败率0% 属性+82 PT+26] | #5 1384[比赛(G3 五维[3, 3, 3, 3, 3]×1.55 PT+54 体力-15 折扣0.30)] | #6 -154[休息] | #7 -185[普通外出] | #8 3073[友人外出#2 选项1 动态事件1263 材料+2(库存1也不禁用) 饥饿+1521 未来+0 主动+213]"
1001,27,RamenSelect,1,0,不吃面,0,仅1候选: 不吃面
